customer_id,avg_spend_per_visit,visit_frequency_per_month,menu_engagement_score,online_order_ratio,loyalty_years,is_high_value
1001,43.708610696262625,5,1.3533854648379422,0.43344204833543837,5,0
1002,95.56428757689245,4,9.795554408592364,0.2949923251503435,5,1
1003,75.87945476302646,2,3.181183256230861,0.016162018990640948,3,0
1004,63.8792635777333,5,6.969796385536018,0.14081866243857386,3,1
1005,24.041677639819287,8,8.551897289196503,0.438304587832957,1,0
1006,24.039506830258237,1,5.955944133129078,0.10193346150371965,9,1
1007,15.22752509513795,2,2.3783005007556057,0.3622001016855536,3,0
1008,87.95585311974416,2,7.553047936025497,0.14955767728153715,7,0
1009,64.1003510568888,1,6.402262690896247,0.49359917689801525,9,1
1010,73.72653200164409,3,7.581255304126376,0.1907872817721293,1,0
1011,11.85260448662222,4,7.927719605713785,0.11641058771692084,8,1
1012,97.29188669457949,1,9.778693309162707,0.0883279311449776,0,0
1013,84.91983767203796,7,6.16206952024039,0.36634789656068795,1,1
1014,29.110519961044854,6,4.074770014215416,0.08820274813316775,1,0
1015,26.364247048639054,2,6.836181012102133,0.26262896076081516,5,0
1016,26.506405886809045,2,1.6159663831836353,0.8231581730611879,6,0
1017,37.381801866358394,1,9.076575864894277,0.17078737399790364,2,0
1018,57.228078846901404,0,2.074429102043771,0.6349123400785474,8,1
1019,48.87505167779042,4,3.950585540972364,0.41060381086873016,4,0
1020,36.21062261782377,3,8.341708425635089,0.30169089383623005,4,0
1021,65.06676052501415,4,6.375811404976407,0.19176725092013766,3,1
1022,22.554447458683764,5,4.542719682496979,0.31698047204861385,8,1
1023,36.29301836816963,1,5.260920934375193,0.05452966529580577,7,0
1024,42.97256589643225,1,8.690926538819623,0.11646165822692993,3,0
1025,51.046298579533236,2,4.060039474539029,0.17893506302911105,3,0
1026,80.66583652537122,6,8.826847163309541,0.48066125787744024,1,1
1027,27.970640394252378,3,1.7932098787902233,0.4367385760516888,8,1
1028,56.28109945722505,3,7.991185934877676,0.4423199288608769,2,0
1029,63.31731119758382,2,8.627928697492628,0.06982757737061895,3,0
1030,14.180537144799795,6,2.6363588755360485,0.16508387594764454,6,0
1031,64.67903667112945,1,4.873118791349804,0.5021848492738299,9,1
1032,25.34717113185624,3,2.4894979719729005,0.28041178717207565,7,0
1033,15.854643368675156,1,7.35943716094796,0.5891391283560721,7,0
1034,95.39969835279999,2,5.818129912554911,0.08767755363010783,3,0
1035,96.90688297671034,4,6.717910120374889,0.15039391900116958,6,1
1036,82.7557613304815,5,2.7683827026059005,0.44130336052315194,9,1
1037,37.415239225603365,8,2.9057127584717755,0.15924736207325815,0,0
1038,18.790490260574547,2,1.3734759295891572,0.2873951414708223,5,0
1039,71.58097238609412,2,3.8986078167615674,0.3419198159965789,5,0
1040,49.61372443656412,4,6.037701952003075,0.45128151674612865,5,0
1041,20.983441136030095,0,8.721414225975959,0.16707885147002907,1,0
1042,54.56592191001432,4,7.002347027128127,0.1759590777965576,7,0
1043,13.094966900369656,3,4.918566910597763,0.5058575035945715,4,0
1044,91.83883618709038,6,9.57808102954724,0.6176872187953554,4,1
1045,33.290198344001524,2,7.473206805182487,0.29324200385798277,1,0
1046,69.62700559185838,2,9.37148682576295,0.4234644910177178,3,0
1047,38.053996848046985,3,5.748291759449491,0.2543873391735122,8,1
1048,56.80612190600297,6,3.3301384731382564,0.1678375940745747,8,1
1049,59.203925140895166,0,1.4754401772824979,0.3971813274032392,5,0
1050,26.636900997297435,4,7.534763663354655,0.2621996640764782,8,1
1051,97.26261649881027,4,2.0917269820498072,0.3211233806446609,3,1
1052,79.76195410250031,3,3.7249761544477047,0.17444615106453634,0,0
1053,94.55490474077702,4,5.792238170955077,0.36940320535707566,1,1
1054,90.5344615384884,4,6.0797492900177295,0.16720527150717418,0,1
1055,63.810998092997664,4,6.4052487728842245,0.7053099712467774,7,1
1056,92.96868115208052,1,2.4962979731473056,0.3100513637485133,8,1
1057,17.964325184672756,5,4.417636643394839,0.3604256468206961,9,1
1058,27.638457617723066,6,6.5547480440527,0.3759652161511818,5,0
1059,14.070456001948425,0,9.728369781704062,0.09643052480657646,1,0
1060,39.27972976869379,4,7.548680239297198,0.3401872769115752,5,0
1061,44.98095607205338,2,9.30343381384562,0.27829909964421146,8,1
1062,34.42141285965063,2,7.859908524827594,0.36123547284550556,2,0
1063,84.58637582367363,3,6.325452720031604,0.22072793515470343,8,1
1064,42.10779940242303,1,2.728210322227101,0.322414157578411,1,0
1065,35.28410587186427,1,7.000170867032617,0.05173255984730596,4,0
1066,58.84264748424236,5,6.610416093639164,0.4534355825034304,1,0
